timestamp	r	w	totaltime	avaragetime	corr_ratio
2016-08-23 18:57:56.776569	16	4	671.63	33.58	80.00
2016-08-23 21:00:21.481457	89	21	2285.88	20.78	80.91
2016-08-24 10:36:40.253101	35	9	983.49	22.35	79.55
2016-08-24 15:18:36.050550	54	11	2066.97	31.80	83.08
2016-08-28 11:40:59.630000	41	9	937.60	18.75	82.00
2016-08-28 11:55:19.887196	35	15	828.79	16.58	70.00
2016-08-29 09:59:29.076839	69	32	2246.25	22.24	68.32
2016-08-29 15:28:03.052277	89	11	1429.85	14.30	89.00
2016-08-30 21:57:31.657103	83	17	1314.67	13.15	83.00
2016-08-30 23:05:59.222614	86	18	1525.64	14.67	82.69
2016-08-31 15:05:28.752067	91	9	1304.14	13.04	91.00
2016-08-31 21:53:04.037763	88	13	1183.46	11.72	87.13
2016-09-01 20:19:36.238195	88	13	1028.89	10.19	87.13
2016-09-02 20:18:49.693133	82	18	1111.78	11.12	82.00
2016-09-02 23:12:05.001906	87	16	1404.57	13.64	84.47
2016-09-04 20:29:51.435262	92	12	1196.31	11.50	88.46
2016-09-05 18:55:23.072553	26	2	372.43	13.30	92.86
2016-09-05 19:01:09.305543	22	0	234.46	10.66	100.00
2016-09-05 19:36:29.482693	47	3	481.92	9.64	94.00
2016-09-05 22:36:36.838746	91	12	1326.90	12.88	88.35
2016-09-06 19:44:49.121882	94	6	1118.58	11.19	94.00
2016-09-07 17:00:53.106505	81	9	884.90	9.83	90.00
2016-09-07 17:03:16.204777	9	1	133.32	13.33	90.00
2016-09-08 18:28:05.637802	95	5	981.60	9.82	95.00
2016-09-09 20:46:46.058179	89	12	930.83	9.22	88.12
2016-09-10 16:47:32.621059	85	15	901.99	9.02	85.00
2016-09-10 16:57:48.212581	46	7	531.29	10.02	86.79
2016-09-10 17:18:37.186096	53	10	711.67	11.30	84.13
2016-09-11 22:20:47.273310	93	7	783.87	7.84	93.00
2016-09-12 19:01:15.861025	94	6	885.54	8.86	94.00
2016-09-13 18:50:16.909365	106	2	980.80	9.08	98.15
2016-09-13 22:09:48.205265	54	7	506.05	8.30	88.52
2016-09-14 21:41:42.444878	94	11	1103.55	10.51	89.52
2016-09-18 18:56:59.782847	91	9	925.97	9.26	91.00
2016-09-19 19:10:24.477911	90	10	956.61	9.57	90.00
2016-09-20 20:13:03.616990	96	4	863.77	8.64	96.00
2016-09-21 16:46:17.127394	93	8	977.83	9.68	92.08
2016-09-22 20:05:49.333186	92	8	832.71	8.33	92.00
2016-09-24 19:29:10.447572	92	9	943.97	9.35	91.09
2016-09-24 19:51:02.161081	89	11	1025.67	10.26	89.00
2016-09-24 20:09:22.138224	88	12	1096.21	10.96	88.00
2016-09-24 20:25:56.886840	87	13	974.70	9.75	87.00
2016-09-25 22:01:09.672144	93	7	953.99	9.54	93.00
2016-09-26 20:22:27.000929	87	13	901.37	9.01	87.00
2016-09-27 21:49:25.435796	86	15	962.70	9.53	85.15
2016-09-28 22:27:03.955266	89	12	965.71	9.56	88.12
2016-09-29 22:10:24.340326	92	8	861.31	8.61	92.00
2016-10-01 13:52:53.804955	87	4	748.23	8.22	95.60
2016-10-02 19:56:12.036662	97	5	891.39	8.74	95.10
2016-10-03 23:05:37.037028	94	9	877.11	8.52	91.26
2016-10-04 22:34:06.510584	92	12	893.65	8.59	88.46
2016-10-08 19:23:47.986089	94	8	775.58	7.60	92.16
2016-10-09 21:54:44.148996	92	9	894.68	8.86	91.09
2016-10-10 20:20:34.101032	92	10	720.45	7.06	90.20
2016-10-11 21:24:32.433975	95	5	659.41	6.59	95.00
2016-10-13 19:39:52.393279	93	7	722.21	7.22	93.00
2016-10-15 21:27:19.654678	94	8	881.53	8.64	92.16
2016-10-16 21:57:30.972960	92	8	715.29	7.15	92.00
2016-10-17 22:08:27.463186	91	9	798.89	7.99	91.00
2016-10-18 22:10:28.627379	95	5	739.75	7.40	95.00
2016-10-19 21:55:44.374209	94	8	664.18	6.51	92.16
2016-10-20 20:10:31.665350	91	9	632.89	6.33	91.00
2016-10-21 22:07:49.673787	93	8	634.74	6.28	92.08
2016-10-22 20:58:57.965655	85	15	728.91	7.29	85.00
2016-10-23 13:44:08.127153	15	35	2333.07	46.66	30.00
2016-10-23 22:08:05.613404	18	32	1791.56	35.83	36.00
2016-10-24 20:48:38.577618	26	24	1787.62	35.75	52.00
2016-10-25 20:59:43.778389	27	23	2148.83	42.98	54.00
2016-10-27 22:23:04.668058	30	20	1713.10	34.26	60.00
2016-10-28 20:47:51.544021	25	25	1789.78	35.80	50.00
2016-10-29 22:19:11.791223	28	22	1573.38	31.47	56.00
2016-10-30 21:05:25.032304	37	13	1396.44	27.93	74.00
2016-11-02 22:27:50.755430	34	16	1444.27	28.89	68.00
2016-11-03 23:04:52.277581	41	9	1340.53	26.81	82.00
2016-11-05 14:55:42.277275	40	10	1072.92	21.46	80.00
2016-11-06 00:27:51.219961	40	10	1123.65	22.47	80.00
2016-11-07 22:49:48.579789	38	12	1367.91	27.36	76.00
2016-11-08 20:26:28.146596	37	13	1480.20	29.60	74.00
2016-11-09 22:11:52.856158	37	13	1089.69	21.79	74.00
