op	question	ans	err
9	8160/96=	85	56
9	6216/74=	84	845
8	795*99=	78705	6765
8	860*18=	15480	1548
9	3072/48=	64	63
9	851/23=	37	43
9	8439/87=	97	970
9	551/29=	19	16
8	318*88=	27984	33404
9	4032/96=	42	32
9	1365/39=	35	43
9	1440/48=	30	3
8	431*45=	19395	20395
9	2964/76=	39	35
8	497*53=	26341	16241
8	417*65=	27105	26905
8	496*24=	11904	11104
8	730*89=	64970	6507
9	5244/76=	69	64
8	379*15=	5685	5686
9	7140/85=	84	82
8	266*37=	9842	9642
9	4641/51=	91	79
9	2508/38=	66	65
9	330/66=	5	55
9	8008/88=	91	8
8	268*78=	20904	21904
9	7568/86=	88	87
8	727*16=	11632	11623
8	528*74=	39072	38962
9	2773/47=	59	63
8	300*62=	18600	2400
9	4485/69=	65	64
8	246*85=	20910	20920
8	860*38=	32680	3268
9	1452/44=	33	66
8	837*29=	24273	24473
8	686*78=	53508	543508
8	119*75=	8925	9925
8	665*13=	8645	7545
8	168*18=	3024	3044
8	669*49=	32781	35381
9	588/12=	49	4
8	221*81=	17901	19227
9	1520/40=	38	73
9	1805/95=	19	2
8	965*49=	47285	555
999	645*73=	47085	7
9	3393/39=	87	890
9	5307/61=	87	66
8	137*47=	6439	0909
9	1680/30=	56	9
8	594*87=	51678	6
8	866*20=	17320	6
8	817*94=	76798	6
8	609*11=	6699	6969
8	723*26=	18798	78792
9	2752/86=	32	88
8	268*69=	18492	789
8	506*81=	40986	99
9	504/14=	36	44
